name,gender,attributes,colour,price,category,desc
High Waisted Disco Denim Shorts,female,"66% cotton, 24% polyester, 8% viscose, 2% elastane. Machine wash. Model wears UK size 10.",mid wash,£12.00,SHORTS,"A classic wardrobe staple which no clothing collection is complete without, get your daily denim fix with this pair of denim shorts from our latest collection. Featuring rigid denim for maximum durability, this classic wardrobe staple can be dressed up or down, depending on the vibe. Our ripped denim shorts are perfect for your next getaway, just team with a simple vest top and cool sliders. We're totally here for the flattering fit of high waisted denim shorts, worn best with a basic crop top."
Black Crew Neck Basic Cotton Tshirt,female,100% COTTON. MACHINE WASHABLE. MODEL WEARS A UK SIZE 10.,black,£6.00,PLAIN T SHIRTS,"If you’re going for a top-to-bottom wardrobe refresh, you’ve got to get back to basics. That’s where this plain t-shirt comes in. Casual and classic, this is the ultimate wardrobe essential. But just because it’s a wardrobe staple doesn’t mean it’s boring. Cute trousers, skirts, shorts - what can’t you wear a basic t-shirt with? And that’s precisely the point. Plain and free from pattern, this is the perfect item for pairing. Add one of these classics to your closet, and you’ll never struggle for outfit combos again."
Faux Leather Trucker Jacket,female,100% Polyester,black,£45.00,COATS & JACKETS,"Hit refresh on your casual wardrobe with a versatile shacket. Thinner than a typical lightweight jacket but thicker than a shirt, this outerwear is perfect for warmer or cooler weather or those in-between season plans. From printed and pastel options to camos and checks, this durable trans-seasonal piece ticks all the boxes. Try a belted shacket for a classic silhouette over your fave faux leather trousers. Want to step into something slightly oversized? The humble shirt jacket offers a loose relaxed shape perfect for layering. Pair yours with a plain crop, cycling shorts and fresh white trainers. It's a whole vibe."
Cropped Slouchy Hoodie,female,NA,lime,£20.00,CROPPED HOODIES,"A seriously comfy addition to your new-season wardrobe, serve serious attitude in a cropped hoodie from our latest drop. A streetwear staple that’s cropped at the waist and features hooded detailing, the crop hoodie is soft, comfortable, and perfect for layering. So, take your loungewear from weak to on fleek with our cropped sweatshirt selection, where you’ll find slogan, mesh, and neon pieces among other bangin’ styles. Try the oversized trend or opt for a more streamlined approach with a zipped crop."
Pinstripe Tie Waist Fitted Tailored Blazer,female,Main: 100% Polyester Lining: 100% Polyester. Wash with similar colours. Model Wears UK Size 10,black,£35.00,COATS & JACKETS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
Vintage Wash High Waisted Straight Fit Cargo Jeans,female,"95% cotton, 5% polyester. Machine wash. Model wears UK size 10.",vintage wash,£20.00,SUSTAINABILITY,"No wardrobe can be complete without a trusty pair of high waisted jeans. Available in a variety of cool styles, choose between ankle-grazers, flared and wide-leg shapes, fringed hems and other fashion-forward details. Tuck a denim shirt into your high rise jeans for that iconic all denim look. Team a bodysuit with heeled boots and high waisted skinny jeans to take it to evening, or throw on a classic tee with chunky trainers for effortless vibes."
Pinstripe Fit & Flare Tailored Trousers,female,100% Polyester. Wash dark colours separately. Model Wears UK Size 10.,black,£25.00,TROUSERS,"When it comes to flared trousers, you may be throwing it back to the 70s, but these beauties are timeless. We’re super glad flares came back into fashion because it was a great opportunity to create this perfect pair. These are super versatile, perfect for keeping it casual or attracting attention in the club - it’s all about how you dress it! Flares become wider from the knee downwards, forming a flared effect, so they are flattering on different body shapes. This style creates equal proportions and can even create the illusion of longer legs - win, win."
Contrast Button Relaxed Fit Tailored Blazer,female,Main: 100% Polyester Lining: 100% Polyester. Wash with similar colours. Model Wears UK Size 10,lime,£35.00,COATS & JACKETS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
Tall California Varsity Bomber Jacket,female,"80% Cotton, 20% Polyester. Machine Wash. Model wears size UK 10.",navy,£30.00,TALL CLOTHING,"Don’t sacrifice your style just because the weather is starting to grow colder. The season has changed, and it’s time for new chapter outfits. Our tall coats & jackets are perfect for women 5’7”, with a longer line that makes them fit better than regular coats. Better fitting, these will be much more practical, but not only that, they’ll be more comfortable. These tall women’s coats are perfect for those long winter months, exploring Christmas markets or shivering outside the pub."
Wardrobe Essentials Slogan Hooded Short Tracksuit,female,"70% Cotton, 30% Polyester. Machine wash. Model wears UK size M.",ash grey,£35.00,TRACKSUITS,"This tracksuit is perfect for a head to toe refresh. Complete with matching hoodie and joggers, it's about to become your ultimate winter fit (just wear it with your go-to trainers). We've come through with our latest collection of  women's tracksuits girl, go take a look."
Contrast Button Pocket Detail Tailored Trousers,female,100% Polyester. Wash dark colours separately. Model Wears UK Size 10.,lime,£25.00,TROUSERS,"Get your new wide or die pants with the hottest style of the season, the wide leg trouser. Elongate your silhouette with the flattering shape the high waist wide leg trouser has to offer. Team with a tucked in slogan tee and trainers for sports luxe vibes or partner perfectly with a blazer and heels for your next event. It's time to upgrade your day-to-day outfits with a pair of palazzo pants."
High Waisted Cuffed Mom Jeans,female,100% cotton. Machine wash. Model wears UK size 10.,light wash,£25.00,JEANS,"A classic go-to silhouette made from rigid and durable denim, the mom jean has become a wardrobe essential for every girl. Whether you’re styling them day to day or wearing on a night out with heels, we have mom jeans to suit your vibe. Our ripped mom jeans let you get daring, just try a bum rip or a simple busted knee to serve everyday attitude. Step out in high waisted mom jeans for a low-key look that stays fresh all season. This is no regular denim staple – it’s over to you to create the look."
Embroidered Half Zip Hoodie Tracksuit,female,"70% Cotton, 30% Polyester. Machine wash. Model wears UK size M.",ash grey,£45.00,TRACKSUITS,"This tracksuit is perfect for a head to toe refresh. Complete with matching hoodie and joggers, it's about to become your ultimate winter fit (just wear it with your go-to trainers). We've come through with our latest collection of  women's tracksuits girl, go take a look."
Slinky Double Layer Cap Sleeve T-shirt,female,100% Cotton. Machine Wash. Model wears UK size 10.,lime,£10.00,T-SHIRTS,"New season style picks have tee be perfect, so it's time to grab this season's latest t-shirt. Typically short-sleeved and casual, t shirts are lightweight, relaxing and comfortable and go with everything. Ideal for summer due to their breathable material, we also love t-shirts for layering so we're wearing them all year round. No matter whether you decide to go graphic, for a classic colour block or a plain t shirt is more your thing, we've got a whole range of casual tees to really make an outfit complete."
Textured Satin Luxe Cargo Pants,female,100% Polyester. Machine Washable. Model Wears UK Size 10.,oyster,£25.00,TROUSERS,"Stay on trend this season and invest in a pair of cargo trousers. Want a look that’s comfortable yet flattering with that stunning cinched waist look? Combat trousers are the way to go. Bring a new energy to your wardrobe with these khaki military-inspired trousers; complete with pocket detailing, these loosely cut trousers are cuffed at the ankle and are bridging the gap between comfy and cool. Don't check out without adding these cargo pants to your basket."
Petite Mesh Long Sleeve Midaxi Dress,female,95% Polyester 5% Elastane. Machine Wash. Model Wears Size UK 10.,multi,£18.75,PETITE DRESSES,"Specifically designed to fit those 5’3’’ and under, boohoo’s range of petite maxi dresses is here to elevate your wardrobe this season. From floral designs to daring thigh splits, our collection of petite long dresses has you covered. Whether you’re heading abroad or enjoying a staycation, just pair with barely-there heels and a cute clutch and get ready to turn some serious heads. PSA: if you’re feeling more casual, this one would look just as good with chunky trainers and an oversized beach bag."
Fur Lined Biker Jacket,female,Coating: Polyurethane. Lining: 100% Polyester. Do not wash. Model wears UK Size 10.,black,£60.00,COATS & JACKETS,"A short, close-fitting jacket complete with zips and stud detailing, rock some seriously cool vibes on the day-to-day with a biker jacket. Whether you prefer cropped, longline or a classic oversized shape for vintage vibes, biker jackets are a wardrobe classic that's perfect for edging up your outfit. Layer up your dress with a suede biker jacket, or show off your shape with a black biker jacket that's both timeless and flattering."
